ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
CONTENT#TOPIC	Hundred years' war, 1339-1453, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Hunger	subject	Event	Event
CONTENT#TOPIC	Hunters	subject	Person	Person
CONTENT#TOPIC	Hunters in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Hunting	subject	Event	Event
CONTENT#TOPIC	Hunting guides	subject	Event	Event
CONTENT#TOPIC	Hunting stories	subject	Event	Event
CONTENT#TOPIC	Husband and wife	subject	Person	Person
CONTENT#TOPIC	Hymns, Latin (Medieval and modern)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Hypnotism in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Hypnotists in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Iacocca, Lee A. -- Biography	subject	Person	Person
CONTENT#TOPIC	Ichabod Crane (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Iconography	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Idea (philosophy)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Identity	subject	Abstract	Abstract
CONTENT#TOPIC	Identity (Philosophical concept)	subject	Abstract	Abstract
CONTENT#TOPIC	Identity (Psychology)	subject	Abstract	Abstract
CONTENT#TOPIC	Identity, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Idiot (Television program)	subject	Person	Person
CONTENT#TOPIC	Illegitimate children	subject	SocialAgent	
CONTENT#TOPIC	Illegitimate children in fiction	subject	SocialAgent	
CONTENT#TOPIC	Illumination of books and manuscripts	subject	Event	Event
CONTENT#TOPIC	Illustrated books, Children's	subject	SocialAgent	
CONTENT#TOPIC	Illustrated children's books	subject	SocialAgent	
CONTENT#TOPIC	Illustraties	subject	Abstract	Abstract
CONTENT#TOPIC	Illustration of	subject	Event	Event
CONTENT#TOPIC	Illustration of books	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Imaginary places	subject	Event	Event
CONTENT#TOPIC	Imaginary voyages in fiction	subject	InformationObject	
CONTENT#TOPIC	Imaginary wars and battles	subject	Event	Event
CONTENT#TOPIC	Imagination	subject	Event	Event
CONTENT#TOPIC	Imagination in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Immigrants	subject	Person	Person
CONTENT#TOPIC	Immortalism	subject	Abstract	Abstract
CONTENT#TOPIC	Immortality	subject	Abstract	Abstract
CONTENT#TOPIC	Immortality (Philosophy)	subject	Abstract	Abstract
CONTENT#TOPIC	Immortality.	subject	Abstract	Abstract
CONTENT#TOPIC	Imperial German Army	army	Person	Person
CONTENT#TOPIC	Imperial Trans-Antarctic Expedition (1914-1917)	subject	Abstract	Abstract
CONTENT#TOPIC	Imperial Trans-Antarctic Expedition, 1914-1917	subject	Abstract	Abstract
CONTENT#TOPIC	Impostors and imposture	subject	Person	Person
CONTENT#TOPIC	Imprisonment for Debt	subject	Description	Description
CONTENT#TOPIC	In literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	In motion pictures	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Inc Apple Computer	subject	Abstract	Abstract
CONTENT#TOPIC	India in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	India, biography	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	India, social life and customs	subject	Description	Description
CONTENT#TOPIC	Indian Rebellion of 1857	subject	Abstract	Abstract
CONTENT#TOPIC	Indian captivities	subject	Description	Description
CONTENT#TOPIC	Indiana in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Indians of North America	subject	Person	Person
CONTENT#TOPIC	Indians of North America in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Indians of South America	subject	Person	Person
CONTENT#TOPIC	Indians of north america, canada	subject	Person	Person
CONTENT#TOPIC	Indians of north america, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Indigenous peoples	subject	Person	Person
CONTENT#TOPIC	Industrial revolution	subject	Event	Event
CONTENT#TOPIC	Industries	subject	Abstract	Abstract
CONTENT#TOPIC	Infanticide in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Infants switched at birth	subject	Event	Event
CONTENT#TOPIC	Influence	subject	Event	Event
CONTENT#TOPIC	Inheritance and succession	subject	Event	Event
CONTENT#TOPIC	Inheritance and succession in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Inheritance and succession, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Initiation rites	subject	Event	Event
CONTENT#TOPIC	Inspiration	subject	Event	Event
CONTENT#TOPIC	Insurgency	subject	Abstract	Abstract
CONTENT#TOPIC	Intellectual life	subject	Abstract	Abstract
CONTENT#TOPIC	Intellectuals	subject	Person	Person
CONTENT#TOPIC	Intelligence officers	subject	Event	Event
CONTENT#TOPIC	Intelligence service	subject	Abstract	Abstract
CONTENT#TOPIC	Intelligence service -- United States -- Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Internal medicine	subject	Event	Event
CONTENT#TOPIC	Internal medicine,	subject	Event	Event
CONTENT#TOPIC	Interpersonal relations	subject	Person	Person
CONTENT#TOPIC	Interpersonal relations in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Interpersonal relations, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Interracial marriage	subject	InformationObject	
CONTENT#TOPIC	Interviews	subject	Person	Person
CONTENT#TOPIC	Invasions	subject	Event	Event
CONTENT#TOPIC	Inventors	subject	Person	Person
CONTENT#TOPIC	Investigation	subject	Event	Event
CONTENT#TOPIC	Ion (Greek mythology)	subject	Person	Person
CONTENT#TOPIC	Iphigenia (Greek mythology)	subject	Abstract	Abstract
CONTENT#TOPIC	Iranian Miniature painting	subject	Person	Person
CONTENT#TOPIC	Ireland, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Irish authors	subject	Person	Person
CONTENT#TOPIC	Irish in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Irish nationalism	subject	Abstract	Abstract
CONTENT#TOPIC	Iroquois Indians	subject	Abstract	Abstract
CONTENT#TOPIC	Iseult (Legendary character)	subject	Person	Person
CONTENT#TOPIC	Islamic Architecture	subject	Abstract	Abstract
CONTENT#TOPIC	Islands	subject	Abstract	Abstract
CONTENT#TOPIC	Islands in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Italian Americans	subject	Person	Person
CONTENT#TOPIC	Italian Americans in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Italian fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Italian language materials	subject	InformationObject	
CONTENT#TOPIC	Italian literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Italian poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Italy	subject	Abstract	Abstract
CONTENT#TOPIC	Italy in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Italy, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Ithaca College First-Year Reading Initiative	subject	Abstract	Abstract
CONTENT#TOPIC	JUVENILE FICTION / Family / Siblings	subject	InformationObject	
CONTENT#TOPIC	JUVENILE FICTION / Girls & Women	subject	InformationObject	
CONTENT#TOPIC	JUVENILE FICTION / Love & Romance	subject	InformationObject	
CONTENT#TOPIC	Jack Reacher (Fictional character)	subject	Person	Person
CONTENT#TOPIC	Jack Reacher (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Jack Ryan (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Jack, the ripper, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Jackdaw	subject	Abstract	Abstract
CONTENT#TOPIC	Jamaica in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	James, Henry , Ps2116 .t8 2010, 813.4, Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	James, henry, 1843-1916	subject	Person	Person
CONTENT#TOPIC	Jane Marple (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Japan, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Japan, history	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Japanese Corporations	subject	Organization	Organization
CONTENT#TOPIC	Japanese Philosophy	subject	Abstract	Abstract
CONTENT#TOPIC	Japanese corporations in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Japanese culture	subject	SocialObject	SocialObject
CONTENT#TOPIC	Japanese fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Japanese literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Japanese morality	subject	Abstract	Abstract
CONTENT#TOPIC	Jason Grace	subject	Person	Person
CONTENT#TOPIC	Jesuits	subject	Person	Person
CONTENT#TOPIC	Jesus christ, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Jewish Personal narratives	subject	Person	Person
CONTENT#TOPIC	Jewish girls	subject	Person	Person
CONTENT#TOPIC	Jewish men	subject	Person	Person
CONTENT#TOPIC	Jewish women	subject	Person	Person
CONTENT#TOPIC	Jews in Poland	Jewish community	Person	Person
CONTENT#TOPIC	Jews, history, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	John Carter	subject	Person	Person
CONTENT#TOPIC	John Carter (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	John Corey (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Journalists	subject	Person	Person
CONTENT#TOPIC	Journalists, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Judges	subject	Person	Person
CONTENT#TOPIC	Judy Moody (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	June Days (Paris : 1848)	subject	Abstract	Abstract
CONTENT#TOPIC	Jungle animals	subject	Organism	Organism
CONTENT#TOPIC	Juvenile History	subject	InformationObject	
CONTENT#TOPIC	Juvenile audience	subject	InformationObject	
CONTENT#TOPIC	Juvenile works	subject	InformationObject	
CONTENT#TOPIC	Keats, john, 1795-1821	subject	Person	Person
CONTENT#TOPIC	Kenilworth Castle (Kenilworth, England)	subject	Abstract	Abstract
CONTENT#TOPIC	Key west (fla.), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Kikuyu (African people)	subject	Abstract	Abstract
CONTENT#TOPIC	Kindness	subject	Event	Event
CONTENT#TOPIC	King Lear (Legendary character)	subject	Person	Person
CONTENT#TOPIC	King of England,	subject	Person	Person
CONTENT#TOPIC	King philip's war, 1675-1676	subject	Event	Event
CONTENT#TOPIC	Kings and rulers	subject	Person	Person
CONTENT#TOPIC	Kings and rulers in literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Knights	subject	Abstract	Abstract
CONTENT#TOPIC	Knights and knighthood	subject	Collection	Collection
CONTENT#TOPIC	Knitters (Persons)	subject	Person	Person
CONTENT#TOPIC	Knowledge	subject	Event	Event
CONTENT#TOPIC	Knowledge, theory of	subject	Description	Description
CONTENT#TOPIC	Korean language materials	subject	InformationObject	
CONTENT#TOPIC	LGBTQ biography and memoir	subject	Person	Person
CONTENT#TOPIC	LGBTQ historical fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	LGBTQ novels	subject	Event	Event
CONTENT#TOPIC	LGBTQ novels before Stonewall	subject	InformationObject	InformationObject
CONTENT#TOPIC	LITERARY CRITICISM	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Lady of the Lake (Legendary character)	subject	Person	Person
CONTENT#TOPIC	Lamb, charles, 1775-1834	subject	Person	Person
CONTENT#TOPIC	Land of Oz	fictional country	Abstract	Abstract
CONTENT#TOPIC	Landlord and tenant	subject	Person	Person
CONTENT#TOPIC	Langdon, Robert (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Langdon, robert (fictitious character), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Language	subject	InformationObject	
CONTENT#TOPIC	Language and languages, study and teaching	subject	InformationObject	
CONTENT#TOPIC	Language arts (Secondary)	subject	InformationObject	
CONTENT#TOPIC	Large print	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Large print books	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Large type books	subject	Quality	Quality
CONTENT#TOPIC	Last Supper in art	subject	Abstract	Abstract
CONTENT#TOPIC	Latin America	geographic region	Abstract	Abstract
CONTENT#TOPIC	Latin America in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Latin American fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Latin American literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Latin Epigrams	subject	Abstract	Abstract
CONTENT#TOPIC	Latin Laudatory poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Latin Love poetry	subject	Event	Event
CONTENT#TOPIC	Latin Pastoral poetry	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Latin Satire	subject	Abstract	Abstract
CONTENT#TOPIC	Latin Verse satire	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Latin authors	subject	Person	Person
CONTENT#TOPIC	Latin fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Latin language	subject	InformationObject	
CONTENT#TOPIC	Latin language materials	subject	InformationObject	
CONTENT#TOPIC	Latin literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Latinamerican literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Law	subject	Abstract	Abstract
CONTENT#TOPIC	Law (Philosophy)	subject	Abstract	Abstract
CONTENT#TOPIC	Law and politics	subject	Description	Description
CONTENT#TOPIC	Law reform	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Lawyers	subject	Person	Person
CONTENT#TOPIC	Lawyers, fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Lear, King (Legendary character)	subject	Person	Person
CONTENT#TOPIC	Legal History	subject	InformationObject	InformationObject
CONTENT#TOPIC	Legal System	subject	System	System
CONTENT#TOPIC	Legal Treatise	subject	Event	Event
CONTENT#TOPIC	Legal status, laws	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Legal stories	subject	Abstract	Abstract
CONTENT#TOPIC	Legends and stories	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Legends and stories of Animals	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Legislators	subject	Person	Person
CONTENT#TOPIC	Legislators' spouses	subject	Person	Person
CONTENT#TOPIC	Leopold Bloom (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Lesbian authors	subject	Person	Person
CONTENT#TOPIC	Lesbians	subject	Person	Person
CONTENT#TOPIC	Letters	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Liberty	subject	Situation	Situation
CONTENT#TOPIC	Library	subject	Collection	Collection
CONTENT#TOPIC	Library Staff Picks	subject	Person	Person
CONTENT#TOPIC	Library extension	subject	Collection	Collection
CONTENT#TOPIC	Life	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Life (Biology)	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Life change events	subject	Event	Event
CONTENT#TOPIC	Lighthouses	subject	PhysicalObject	PhysicalObject
CONTENT#TOPIC	Linguistics teachers	subject	Person	Person
CONTENT#TOPIC	Literary	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Literary Criticism	subject	TimeInterval	TimeInterval
CONTENT#TOPIC	Literary Fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Literary collections	subject	Event	Event
CONTENT#TOPIC	Literary form	subject	Description	Description
CONTENT#TOPIC	Literary styles & movements - fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Literature	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Literature - Classics / Criticism	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Literature and fiction, historical fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Literature and fiction, juvenile	subject	InformationObject	
CONTENT#TOPIC	Literature in French	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Literature, collections	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Literature: Classics	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Literature: Texts	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Local elections	subject	Event	Event
CONTENT#TOPIC	Locus Award winner	subject	Person	Person
CONTENT#TOPIC	Loeb classical library	subject	Collection	Collection
CONTENT#TOPIC	London	subject	Abstract	Abstract
CONTENT#TOPIC	London (England), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	London (england), fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	London Below	subject	Abstract	Abstract
CONTENT#TOPIC	London, 1665	subject	Abstract	Abstract
CONTENT#TOPIC	Long Now Manual for Civilization	subject	Person	Person
CONTENT#TOPIC	Longevity	subject	Abstract	Abstract
CONTENT#TOPIC	Longfellow, henry wadsworth, 1807-1882	subject	Person	Person
CONTENT#TOPIC	Lord Wimsey, Peter (Fictitious character)	subject	Person	Person
CONTENT#TOPIC	Lord's Prayer	subject	Person	Person
CONTENT#TOPIC	Loss	subject	Event	Event
CONTENT#TOPIC	Loss (Psychology)	subject	Event	Event
CONTENT#TOPIC	Lotteries	subject	Situation	Situation
CONTENT#TOPIC	Lottery winners	subject	Person	Person
CONTENT#TOPIC	Lottery winners in fiction	subject	InformationEntity	InformationEntity
CONTENT#TOPIC	Louisa May Alcott	subject	Person	Person
CONTENT#TOPIC	Louisiana -- Fiction	subject	InformationEntity	InformationEntity
